project_id,deployment_id,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,fuzzed
2000262,297a17b4-a910-4d9c-aacc-1cd7648b3246,-68.8,-13.4,2011-10-11 00:00:00,2011-10-29 00:00:00,Scent,,None,,2002752,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,6735b026-35ea-4f21-a52b-6e0b63be0eb1,-68.8,-13.4,2011-10-11 00:00:00,2011-11-15 00:00:00,Scent,,None,,2002751,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,e4709eaa-bac7-48d9-b712-4a6de44a891d,-68.8,-13.4,2011-10-11 00:00:00,2011-10-25 00:00:00,Scent,,None,,2002750,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,254a2aa7-782c-4b86-978b-d06c74a93e1c,-68.8,-13.4,2011-10-11 00:00:00,2011-11-05 00:00:00,Scent,,None,,2002749,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,dc0839e4-5b5d-4394-b0ba-534350628686,-68.8,-13.4,2011-10-11 00:00:00,2011-11-14 00:00:00,Scent,,None,,2002748,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,7928691f-dfe0-49e6-ae13-d02743ef98fa,-68.8,-13.4,2011-10-11 00:00:00,2011-11-15 00:00:00,Scent,,None,,2002747,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,1f5ad4f1-1dc6-496d-8d04-fac3b00a392f,-68.8,-13.4,2011-10-11 00:00:00,2011-10-26 00:00:00,Scent,,None,,2002746,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,f53efb06-cadc-46df-a694-98844e2d0fb3,-68.8,-13.4,2011-10-12 00:00:00,2011-11-15 00:00:00,Scent,,None,,2002745,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,25d40802-3640-41ba-b53f-f19f5b02de87,-68.8,-13.4,2011-10-11 00:00:00,2011-11-15 00:00:00,Scent,,None,,2002744,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,73f3e763-b8fe-4e6d-8b52-278f9e59229a,-68.8,-13.4,2011-10-10 00:00:00,2011-11-12 00:00:00,Scent,,None,,2002743,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
2000262,865760de-4ec0-4b77-bf45-ba3204afb95f,-68.8,-13.4,2011-10-10 00:00:00,2011-11-12 00:00:00,Scent,,None,,2002742,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,true
